Client_ID,Client_Type,Client_Verification,Client_Location,Cargo_ID,Cargo_Type,Cargo_Value,Cargo_Weight,Transporter,Route,Border_Point,GPS_Location,KRA_Lock,KRA_Penalty,Incident_Type,Incident_Location,Incident_Report_Date,Cargo_Risk,Estimated_Loss
15,Business,1,Kigali,1015,Clothing,149343.54,2338.73,Transporter A,Nairobi-Eldoret,Malaba,"(np.float64(-1.2056), np.float64(36.9019))",1,13824.04,Accident,Warehouse,2022-02-18,Medium,86519.92
16,Business,1,Kampala,1016,Electronics,292598.22,1479.65,Transporter C,Arusha-Kampala,Taveta,"(np.float64(-1.2559), np.float64(36.8946))",0,14515.8,Accident,Border,2022-02-03,Medium,125499.23
17,Business,1,Kigali,1017,Electronics,140282.86,3739.28,Transporter C,Nairobi-Kisumu,Namanga,"(np.float64(-1.1982), np.float64(36.8507))",1,17347.34,Accident,Border,2022-12-19,Medium,133313.35
18,Business,1,Kampala,1018,Machinery,337269.34,3401.85,Transporter C,Arusha-Nairobi,Namanga,"(np.float64(-1.2663), np.float64(36.8413))",1,3098.61,Accident,Warehouse,2022-05-01,High,469125.5
19,Business,0,Kampala,1019,Clothing,343347.02,190.41,Transporter C,Nairobi-Kisumu,Busia,"(np.float64(-1.2023), np.float64(36.8355))",1,1871.45,Fraud,Transit,2022-09-18,High,150506.6
20,Individual,0,Kigali,1020,Machinery,394145.53,582.88,Transporter B,Nairobi-Eldoret,Taveta,"(np.float64(-1.2516), np.float64(36.8677))",0,15029.92,Theft,Border,2023-01-01,High,168191.87
21,Business,1,Nairobi,1021,Electronics,286609.95,1456.8,Transporter C,Arusha-Nairobi,Malaba,"(np.float64(-1.2426), np.float64(36.9115))",1,16618.74,Accident,Warehouse,2022-04-20,Medium,146535.52
22,Individual,0,Nairobi,1022,Electronics,424648.83,4181.24,Transporter A,Nairobi-Kisumu,Malaba,"(np.float64(-1.2628), np.float64(36.9064))",1,9839.46,Accident,Warehouse,2022-09-15,High,286327.98
23,Individual,1,Kampala,1023,Electronics,392863.5,4757.65,Transporter A,Nairobi-Kisumu,Busia,"(np.float64(-1.2365), np.float64(36.9097))",1,5511.9,Theft,Warehouse,2022-11-05,High,412430.23
24,Business,1,Kigali,1024,Alcohol,282541.42,2625.59,Transporter B,Nairobi-Kisumu,Taveta,"(np.float64(-1.2582), np.float64(36.8451))",0,14518.16,Fraud,Border,2022-09-24,Medium,62706.48
25,Business,1,Arusha,1025,Electronics,433564.65,1051.82,Transporter B,Arusha-Nairobi,Namanga,"(np.float64(-1.2668), np.float64(36.8412))",1,13479.21,Accident,Border,2022-11-20,High,438508.16
26,Individual,1,Kampala,1026,Machinery,105219.86,2857.08,Transporter A,Nairobi-Eldoret,Taveta,"(np.float64(-1.2885), np.float64(36.8467))",0,15739.0,Accident,Transit,2022-09-06,Medium,90237.62
27,Individual,1,Kigali,1027,Machinery,113110.94,258.14,Transporter A,Arusha-Kampala,Busia,"(np.float64(-1.229), np.float64(36.879))",0,9091.82,Accident,Transit,2022-07-27,Medium,50628.39
28,Individual,0,Kampala,1028,Alcohol,495447.0,2959.63,Transporter A,Arusha-Kampala,Namanga,"(np.float64(-1.2841), np.float64(36.8649))",0,19470.12,Fraud,Border,2022-10-03,High,418987.65
29,Individual,1,Kigali,1029,Electronics,108854.36,1801.55,Transporter C,Arusha-Nairobi,Taveta,"(np.float64(-1.2001), np.float64(36.842))",0,12252.46,Fraud,Border,2022-09-20,Medium,76295.05
30,Business,0,Nairobi,1030,Alcohol,333807.94,2695.05,Transporter B,Nairobi-Kisumu,Taveta,"(np.float64(-1.2773), np.float64(36.8354))",0,292.11,Accident,Transit,2022-11-11,High,376662.6
31,Individual,0,Kigali,1031,Clothing,337555.58,3729.61,Transporter B,Nairobi-Kisumu,Taveta,"(np.float64(-1.2086), np.float64(36.8714))",1,3292.67,Accident,Border,2022-03-06,High,428093.4
32,Business,1,Arusha,1032,Machinery,224184.9,1062.42,Transporter A,Arusha-Nairobi,Malaba,"(np.float64(-1.2686), np.float64(36.9058))",1,16547.25,Accident,Transit,2022-12-01,Medium,73300.11
33,Individual,1,Kampala,1033,Alcohol,246043.31,4660.6,Transporter B,Arusha-Kampala,Taveta,"(np.float64(-1.2274), np.float64(36.9187))",1,17344.65,Accident,Transit,2022-02-21,Medium,149409.94
34,Business,1,Arusha,1034,Clothing,282658.27,1465.12,Transporter A,Arusha-Kampala,Namanga,"(np.float64(-1.2575), np.float64(36.8598))",0,17045.19,Fraud,Transit,2022-05-26,Medium,137564.26
35,Individual,1,Kigali,1035,Machinery,264523.58,3069.6,Transporter A,Arusha-Nairobi,Taveta,"(np.float64(-1.2902), np.float64(36.8363))",1,11439.65,Accident,Transit,2022-02-04,Medium,87217.8
36,Individual,1,Arusha,1036,Machinery,333692.04,2909.96,Transporter C,Arusha-Nairobi,Busia,"(np.float64(-1.2883), np.float64(36.8505))",1,7173.15,Accident,Transit,2022-03-11,High,259551.37
37,Business,1,Kigali,1037,Machinery,78585.01,1491.78,Transporter C,Nairobi-Eldoret,Busia,"(np.float64(-1.2388), np.float64(36.8328))",1,12670.94,Fraud,Transit,2022-03-15,Low,12586.8
38,Individual,1,Arusha,1038,Electronics,153300.64,446.04,Transporter B,Arusha-Nairobi,Namanga,"(np.float64(-1.26), np.float64(36.8697))",1,12930.81,Accident,Warehouse,2022-10-30,Medium,56862.29
39,Individual,1,Kampala,1039,Machinery,305093.01,3265.34,Transporter B,Arusha-Nairobi,Malaba,"(np.float64(-1.2783), np.float64(36.8645))",1,17721.25,Theft,Transit,2022-06-04,High,475109.68
40,Business,0,Kigali,1040,Electronics,303181.13,4580.15,Transporter A,Arusha-Nairobi,Namanga,"(np.float64(-1.2268), np.float64(36.9033))",0,19326.65,Accident,Border,2022-03-05,High,370424.25
41,Business,1,Arusha,1041,Electronics,158696.29,1847.33,Transporter C,Nairobi-Kisumu,Namanga,"(np.float64(-1.2754), np.float64(36.9016))",1,1600.86,Accident,Border,2022-03-05,Medium,110817.0
42,Individual,1,Nairobi,1042,Alcohol,91834.52,2935.7,Transporter B,Arusha-Nairobi,Taveta,"(np.float64(-1.2235), np.float64(36.914))",0,19313.47,Accident,Transit,2022-08-18,Low,37754.2
43,Business,0,Kigali,1043,Clothing,144298.17,1199.36,Transporter C,Nairobi-Eldoret,Busia,"(np.float64(-1.2778), np.float64(36.8477))",0,12633.61,Fraud,Transit,2022-11-30,Medium,100625.23
44,Individual,1,Arusha,1044,Alcohol,288342.29,2869.24,Transporter C,Nairobi-Eldoret,Busia,"(np.float64(-1.264), np.float64(36.826))",1,13968.61,Accident,Warehouse,2022-04-12,Medium,84019.68
45,Individual,1,Kigali,1045,Electronics,221951.11,1385.67,Transporter B,Arusha-Nairobi,Busia,"(np.float64(-1.2861), np.float64(36.9059))",1,2955.98,Accident,Border,2022-07-06,Medium,121410.48
46,Individual,1,Nairobi,1046,Clothing,183117.2,4814.88,Transporter B,Arusha-Nairobi,Malaba,"(np.float64(-1.2212), np.float64(36.916))",0,1838.03,Theft,Transit,2022-05-09,Medium,62019.63
47,Individual,1,Kigali,1047,Electronics,71794.26,566.47,Transporter C,Arusha-Kampala,Busia,"(np.float64(-1.2647), np.float64(36.9171))",0,4905.12,Accident,Border,2022-09-12,Low,46230.23
48,Individual,1,Nairobi,1048,Clothing,73686.22,1794.03,Transporter A,Nairobi-Eldoret,Namanga,"(np.float64(-1.2846), np.float64(36.9044))",0,15218.86,Theft,Transit,2022-09-09,Low,25893.8
49,Business,0,Nairobi,1049,Electronics,415702.56,1366.15,Transporter C,Arusha-Nairobi,Taveta,"(np.float64(-1.214), np.float64(36.8646))",1,6281.27,Theft,Border,2022-03-07,High,398927.71
50,Individual,1,Kigali,1050,Machinery,297407.74,1998.61,Transporter B,Arusha-Kampala,Taveta,"(np.float64(-1.1962), np.float64(36.8653))",1,2728.05,Fraud,Warehouse,2022-01-22,Medium,94881.52
51,Business,1,Kigali,1051,Alcohol,470027.36,2683.2,Transporter B,Nairobi-Eldoret,Malaba,"(np.float64(-1.2164), np.float64(36.9002))",1,13124.19,Accident,Warehouse,2022-08-22,High,225291.9
52,Individual,1,Nairobi,1052,Electronics,160570.52,2164.12,Transporter C,Arusha-Nairobi,Malaba,"(np.float64(-1.2701), np.float64(36.8706))",0,18481.98,Accident,Transit,2022-05-24,Medium,77816.8
53,Individual,1,Arusha,1053,Electronics,112477.27,3310.81,Transporter C,Nairobi-Eldoret,Busia,"(np.float64(-1.1934), np.float64(36.8354))",0,2469.27,Accident,Border,2022-06-10,Medium,90756.61
54,Individual,1,Nairobi,1054,Clothing,63524.76,3966.59,Transporter A,Nairobi-Kisumu,Namanga,"(np.float64(-1.2568), np.float64(36.8531))",0,12368.6,Theft,Transit,2022-02-17,Low,28987.69
55,Individual,1,Arusha,1055,Clothing,317073.55,963.38,Transporter C,Arusha-Kampala,Taveta,"(np.float64(-1.2851), np.float64(36.8426))",1,17520.03,Theft,Warehouse,2022-04-10,High,290282.09
56,Business,1,Kampala,1056,Machinery,317095.0,188.67,Transporter B,Nairobi-Eldoret,Busia,"(np.float64(-1.2165), np.float64(36.8661))",1,18489.51,Accident,Warehouse,2022-07-22,High,240297.08
57,Individual,1,Kampala,1057,Electronics,146845.57,4700.51,Transporter B,Arusha-Nairobi,Malaba,"(np.float64(-1.2), np.float64(36.8231))",0,8728.63,Accident,Transit,2022-06-06,Medium,89458.37
58,Business,1,Arusha,1058,Electronics,233871.82,1877.64,Transporter C,Arusha-Kampala,Busia,"(np.float64(-1.239), np.float64(36.8907))",0,4316.83,Theft,Warehouse,2022-08-04,Medium,70135.81
59,Business,1,Arusha,1059,Electronics,103879.97,3002.24,Transporter A,Arusha-Kampala,Malaba,"(np.float64(-1.2177), np.float64(36.8462))",0,5906.74,Accident,Border,2022-06-22,Medium,55582.21
60,Individual,0,Kigali,1060,Machinery,116360.79,874.46,Transporter B,Nairobi-Kisumu,Namanga,"(np.float64(-1.2633), np.float64(36.8983))",1,17101.73,Theft,Warehouse,2022-12-09,Medium,121919.85
61,Individual,1,Nairobi,1061,Electronics,334015.48,3878.72,Transporter C,Arusha-Kampala,Busia,"(np.float64(-1.2464), np.float64(36.9163))",1,18266.53,Theft,Border,2022-01-07,High,350758.03
62,Business,1,Kampala,1062,Machinery,191981.73,2208.29,Transporter A,Arusha-Nairobi,Busia,"(np.float64(-1.1947), np.float64(36.8771))",0,7650.29,Theft,Transit,2022-01-07,Medium,105336.44
63,Individual,0,Kampala,1063,Machinery,185990.05,3380.79,Transporter A,Arusha-Nairobi,Namanga,"(np.float64(-1.2842), np.float64(36.8926))",0,11738.89,Fraud,Warehouse,2022-01-09,Medium,87415.03
64,Business,1,Kigali,1064,Electronics,320032.08,2940.96,Transporter B,Nairobi-Kisumu,Busia,"(np.float64(-1.262), np.float64(36.8447))",0,3615.24,Fraud,Warehouse,2022-10-25,High,382059.77
65,Individual,1,Arusha,1065,Electronics,161005.83,3999.41,Transporter B,Nairobi-Eldoret,Busia,"(np.float64(-1.2061), np.float64(36.8398))",1,8239.38,Theft,Transit,2022-01-25,Medium,97497.83
66,Business,0,Nairobi,1066,Machinery,57214.17,740.83,Transporter A,Nairobi-Kisumu,Taveta,"(np.float64(-1.2872), np.float64(36.8824))",1,6727.22,Theft,Border,2022-08-11,Low,36856.85
67,Business,0,Nairobi,1067,Alcohol,187480.63,3103.55,Transporter A,Arusha-Nairobi,Malaba,"(np.float64(-1.2777), np.float64(36.8277))",0,3960.07,Accident,Border,2022-10-10,Medium,61216.31
68,Business,1,Nairobi,1068,Clothing,443301.26,4626.51,Transporter A,Arusha-Nairobi,Malaba,"(np.float64(-1.291), np.float64(36.8697))",1,125.11,Theft,Warehouse,2022-03-30,High,298490.0
69,Business,0,Arusha,1069,Clothing,444080.67,902.15,Transporter C,Nairobi-Kisumu,Busia,"(np.float64(-1.2646), np.float64(36.8966))",1,15305.87,Accident,Warehouse,2022-06-04,High,163573.77
70,Business,1,Nairobi,1070,Electronics,463389.46,2926.59,Transporter A,Nairobi-Kisumu,Malaba,"(np.float64(-1.2827), np.float64(36.8923))",1,5478.04,Theft,Transit,2022-03-15,High,183224.2
71,Individual,1,Kigali,1071,Clothing,136975.22,4804.0,Transporter B,Nairobi-Kisumu,Malaba,"(np.float64(-1.2591), np.float64(36.8576))",1,3495.28,Theft,Transit,2022-09-19,Medium,131811.35
72,Individual,1,Arusha,1072,Electronics,351430.49,626.61,Transporter B,Arusha-Kampala,Taveta,"(np.float64(-1.2843), np.float64(36.8601))",0,11501.81,Accident,Transit,2022-01-10,High,488414.76
73,Business,1,Kigali,1073,Clothing,271492.07,312.19,Transporter B,Nairobi-Kisumu,Taveta,"(np.float64(-1.2272), np.float64(36.8418))",1,16151.46,Theft,Warehouse,2022-07-04,Medium,111201.04
74,Business,0,Kampala,1074,Machinery,168425.89,1032.11,Transporter C,Arusha-Nairobi,Taveta,"(np.float64(-1.2254), np.float64(36.8855))",1,12093.06,Fraud,Border,2022-11-12,Medium,87320.61
75,Business,1,Arusha,1075,Alcohol,339663.97,207.12,Transporter B,Nairobi-Kisumu,Malaba,"(np.float64(-1.275), np.float64(36.8536))",0,15663.2,Theft,Border,2022-11-16,High,380889.11
76,Individual,0,Kigali,1076,Clothing,324509.48,2893.02,Transporter B,Nairobi-Kisumu,Busia,"(np.float64(-1.2253), np.float64(36.8492))",0,10835.16,Theft,Border,2022-11-20,High,439367.26
77,Individual,1,Arusha,1077,Clothing,115177.41,3445.09,Transporter B,Arusha-Kampala,Namanga,"(np.float64(-1.1941), np.float64(36.8932))",1,13368.2,Fraud,Transit,2022-01-20,Medium,104880.59
78,Business,0,Kampala,1078,Electronics,392437.17,127.07,Transporter B,Nairobi-Eldoret,Namanga,"(np.float64(-1.2898), np.float64(36.8768))",0,15696.77,Theft,Border,2022-06-14,High,465280.62
79,Individual,1,Kampala,1079,Machinery,459788.56,2298.86,Transporter B,Nairobi-Kisumu,Taveta,"(np.float64(-1.2807), np.float64(36.8868))",0,10501.84,Theft,Transit,2022-08-11,High,226709.1
80,Business,1,Arusha,1080,Clothing,189044.86,1923.57,Transporter C,Arusha-Nairobi,Malaba,"(np.float64(-1.266), np.float64(36.8229))",1,15772.24,Theft,Border,2022-10-12,Medium,101011.44
81,Business,1,Kampala,1081,Alcohol,94627.03,3868.74,Transporter C,Nairobi-Eldoret,Malaba,"(np.float64(-1.2715), np.float64(36.8401))",0,16501.92,Theft,Warehouse,2022-02-07,Low,10330.58
82,Individual,1,Nairobi,1082,Clothing,213573.9,3937.12,Transporter C,Arusha-Kampala,Taveta,"(np.float64(-1.2159), np.float64(36.8275))",1,6939.65,Accident,Transit,2022-01-20,Medium,50775.68
83,Business,1,Arusha,1083,Clothing,432104.06,3706.27,Transporter B,Nairobi-Eldoret,Malaba,"(np.float64(-1.2861), np.float64(36.9141))",0,14429.19,Theft,Transit,2022-06-10,High,301734.45
84,Individual,1,Arusha,1084,Machinery,258021.53,108.26,Transporter C,Arusha-Kampala,Taveta,"(np.float64(-1.2731), np.float64(36.9173))",0,2732.58,Theft,Border,2022-09-15,Medium,92307.64
85,Individual,1,Arusha,1085,Clothing,393764.96,1021.9,Transporter B,Arusha-Kampala,Namanga,"(np.float64(-1.2443), np.float64(36.8559))",0,15749.59,Theft,Transit,2022-03-20,High,496456.76
86,Individual,1,Kampala,1086,Alcohol,313416.69,148.18,Transporter B,Nairobi-Kisumu,Busia,"(np.float64(-1.2011), np.float64(36.8282))",1,13123.76,Theft,Transit,2022-07-22,High,224009.34
87,Individual,1,Nairobi,1087,Alcohol,489092.09,4952.24,Transporter B,Arusha-Kampala,Namanga,"(np.float64(-1.2311), np.float64(36.8997))",1,2485.49,Accident,Warehouse,2022-05-09,High,476351.44
88,Individual,1,Nairobi,1088,Alcohol,300690.53,4682.52,Transporter B,Nairobi-Eldoret,Busia,"(np.float64(-1.2528), np.float64(36.8817))",1,117.92,Theft,Border,2022-09-26,High,286752.74
89,Individual,1,Kigali,1089,Alcohol,402210.49,2643.96,Transporter A,Arusha-Nairobi,Namanga,"(np.float64(-1.1929), np.float64(36.9075))",1,2607.32,Theft,Warehouse,2022-10-15,High,251793.85
90,Business,1,Nairobi,1090,Electronics,223117.51,1200.93,Transporter A,Nairobi-Kisumu,Malaba,"(np.float64(-1.1993), np.float64(36.9128))",0,5347.49,Accident,Warehouse,2022-09-18,Medium,86143.27
91,Individual,0,Kampala,1091,Machinery,252092.6,3020.2,Transporter C,Arusha-Kampala,Namanga,"(np.float64(-1.2487), np.float64(36.9025))",0,8332.57,Accident,Warehouse,2022-10-14,Medium,123900.83
92,Individual,1,Kampala,1092,Electronics,171625.83,1271.04,Transporter C,Nairobi-Eldoret,Malaba,"(np.float64(-1.1956), np.float64(36.8752))",0,13450.25,Theft,Transit,2022-01-25,Medium,96554.52
93,Business,0,Arusha,1093,Electronics,164145.29,2184.49,Transporter B,Nairobi-Eldoret,Malaba,"(np.float64(-1.1991), np.float64(36.8228))",0,5837.81,Theft,Transit,2022-11-28,Medium,66645.41
94,Business,1,Nairobi,1094,Electronics,298862.87,4265.31,Transporter A,Nairobi-Eldoret,Busia,"(np.float64(-1.2641), np.float64(36.8835))",1,5933.92,Theft,Border,2022-10-19,Medium,76215.25
95,Individual,0,Arusha,1095,Clothing,352043.17,2585.87,Transporter C,Nairobi-Eldoret,Taveta,"(np.float64(-1.256), np.float64(36.851))",1,19318.77,Theft,Warehouse,2022-08-29,High,394454.43
96,Business,1,Kampala,1096,Electronics,66099.93,4288.17,Transporter C,Nairobi-Kisumu,Taveta,"(np.float64(-1.2024), np.float64(36.8264))",0,833.1,Fraud,Transit,2022-02-10,Low,24182.71
97,Business,0,Kampala,1097,Machinery,67613.33,4354.84,Transporter B,Arusha-Kampala,Malaba,"(np.float64(-1.2572), np.float64(36.8543))",1,1966.65,Accident,Transit,2022-04-09,Low,12989.45
98,Individual,0,Arusha,1098,Clothing,62529.48,2796.75,Transporter B,Nairobi-Eldoret,Namanga,"(np.float64(-1.2622), np.float64(36.8685))",0,6353.26,Fraud,Warehouse,2022-12-10,Low,23585.88
99,Individual,1,Kampala,1099,Clothing,289940.14,4234.73,Transporter B,Nairobi-Kisumu,Taveta,"(np.float64(-1.244), np.float64(36.8881))",0,6197.35,Theft,Transit,2022-06-01,Medium,53797.05
100,Business,1,Kampala,1100,Electronics,312450.69,2259.03,Transporter A,Nairobi-Kisumu,Busia,"(np.float64(-1.2256), np.float64(36.848))",1,7043.48,Theft,Warehouse,2022-12-27,High,400476.57
101,Individual,0,Kampala,1101,Machinery,297104.05,4410.68,Transporter B,Nairobi-Kisumu,Namanga,"(np.float64(-1.2456), np.float64(36.8368))",0,19350.02,Fraud,Warehouse,2022-09-23,Medium,72368.97
102,Business,1,Nairobi,1102,Machinery,267802.52,836.68,Transporter A,Arusha-Nairobi,Malaba,"(np.float64(-1.2488), np.float64(36.8906))",1,9744.07,Fraud,Border,2022-07-07,Medium,60181.7
103,Business,1,Arusha,1103,Machinery,302230.42,2022.43,Transporter C,Arusha-Kampala,Namanga,"(np.float64(-1.2215), np.float64(36.9111))",1,3890.29,Fraud,Transit,2022-04-24,High,189467.38
104,Individual,1,Arusha,1104,Machinery,185451.21,4623.53,Transporter C,Nairobi-Eldoret,Namanga,"(np.float64(-1.288), np.float64(36.8653))",1,923.76,Accident,Border,2022-06-27,Medium,136681.29
105,Business,0,Kampala,1105,Machinery,461473.07,1049.89,Transporter A,Arusha-Kampala,Busia,"(np.float64(-1.1936), np.float64(36.8753))",0,16195.7,Accident,Warehouse,2022-09-13,High,245791.01
106,Business,1,Kigali,1106,Alcohol,432921.91,3801.06,Transporter B,Nairobi-Eldoret,Taveta,"(np.float64(-1.2431), np.float64(36.8721))",1,3511.51,Theft,Border,2022-05-22,High,490464.18
107,Business,1,Kampala,1107,Electronics,275350.13,2048.63,Transporter C,Nairobi-Eldoret,Malaba,"(np.float64(-1.2472), np.float64(36.8306))",1,6168.59,Accident,Border,2022-10-03,Medium,104689.9
108,Individual,1,Kigali,1108,Alcohol,325201.9,3962.37,Transporter B,Arusha-Nairobi,Busia,"(np.float64(-1.2605), np.float64(36.8794))",1,756.91,Theft,Warehouse,2022-09-13,High,176043.96
109,Individual,1,Nairobi,1109,Clothing,324393.66,1619.38,Transporter B,Arusha-Kampala,Malaba,"(np.float64(-1.2256), np.float64(36.8819))",0,9918.73,Fraud,Transit,2022-03-14,High,175533.29
110,Business,1,Kigali,1110,Clothing,158379.03,2492.78,Transporter C,Arusha-Kampala,Busia,"(np.float64(-1.235), np.float64(36.9205))",1,13042.51,Accident,Warehouse,2022-10-03,Medium,67727.35
111,Individual,1,Kigali,1111,Clothing,121740.08,563.23,Transporter C,Arusha-Nairobi,Namanga,"(np.float64(-1.2122), np.float64(36.9203))",0,8317.65,Fraud,Border,2022-06-27,Medium,140599.48
112,Business,1,Kampala,1112,Electronics,450475.53,2724.22,Transporter C,Nairobi-Kisumu,Namanga,"(np.float64(-1.267), np.float64(36.8863))",1,10490.9,Theft,Transit,2022-01-09,High,187528.9
113,Business,1,Nairobi,1113,Machinery,226127.88,1235.42,Transporter A,Arusha-Kampala,Taveta,"(np.float64(-1.2797), np.float64(36.8949))",0,13181.91,Theft,Warehouse,2022-09-08,Medium,128468.22
114,Business,1,Nairobi,1114,Electronics,458939.18,1028.72,Transporter C,Arusha-Nairobi,Busia,"(np.float64(-1.2189), np.float64(36.8781))",1,6211.48,Theft,Border,2022-01-04,High,376615.97
115,Business,1,Arusha,1115,Alcohol,362043.09,1245.45,Transporter A,Arusha-Kampala,Namanga,"(np.float64(-1.2305), np.float64(36.8977))",0,17144.21,Theft,Border,2022-01-29,High,423165.24
116,Business,1,Arusha,1116,Alcohol,379233.9,3798.32,Transporter C,Nairobi-Eldoret,Busia,"(np.float64(-1.2124), np.float64(36.8308))",1,19226.38,Fraud,Border,2022-10-23,High,374928.32
117,Individual,0,Kampala,1117,Alcohol,132204.23,2505.37,Transporter B,Arusha-Kampala,Busia,"(np.float64(-1.2364), np.float64(36.8586))",1,11315.74,Fraud,Border,2022-02-03,Medium,55714.02
118,Business,1,Arusha,1118,Electronics,449473.34,757.5,Transporter B,Nairobi-Kisumu,Malaba,"(np.float64(-1.2329), np.float64(36.8299))",1,19380.54,Accident,Border,2022-02-26,High,213463.29
119,Individual,1,Arusha,1119,Clothing,407279.22,2449.93,Transporter B,Nairobi-Kisumu,Namanga,"(np.float64(-1.2327), np.float64(36.8854))",1,18785.23,Theft,Border,2022-02-13,High,334513.59
120,Business,1,Kigali,1120,Alcohol,76316.37,4680.63,Transporter C,Arusha-Kampala,Taveta,"(np.float64(-1.2566), np.float64(36.8679))",1,14160.7,Theft,Transit,2022-05-12,Low,12050.28
121,Individual,0,Nairobi,1121,Alcohol,454813.3,4529.71,Transporter A,Nairobi-Kisumu,Taveta,"(np.float64(-1.2286), np.float64(36.8568))",0,16583.53,Theft,Warehouse,2022-10-17,High,192456.11
122,Individual,1,Nairobi,1122,Clothing,295427.72,784.47,Transporter A,Arusha-Nairobi,Malaba,"(np.float64(-1.2728), np.float64(36.9077))",0,9171.15,Theft,Warehouse,2022-04-05,Medium,133040.76
123,Individual,1,Kampala,1123,Alcohol,363462.43,2509.52,Transporter A,Arusha-Kampala,Taveta,"(np.float64(-1.2736), np.float64(36.8951))",1,16106.21,Accident,Border,2022-12-14,High,421067.71
124,Individual,1,Nairobi,1124,Clothing,421891.42,2532.9,Transporter C,Nairobi-Kisumu,Malaba,"(np.float64(-1.2637), np.float64(36.8392))",1,1918.94,Accident,Transit,2022-02-05,High,235028.27
125,Individual,1,Arusha,1125,Electronics,153647.64,3785.5,Transporter A,Nairobi-Kisumu,Namanga,"(np.float64(-1.2675), np.float64(36.8537))",1,11162.05,Theft,Warehouse,2022-12-03,Medium,93146.01
126,Business,1,Arusha,1126,Clothing,204471.97,2731.99,Transporter B,Arusha-Nairobi,Namanga,"(np.float64(-1.254), np.float64(36.8379))",0,1156.12,Theft,Transit,2022-09-01,Medium,62042.97
127,Individual,1,Arusha,1127,Machinery,413033.92,605.12,Transporter C,Arusha-Nairobi,Busia,"(np.float64(-1.2056), np.float64(36.8869))",0,5406.97,Accident,Warehouse,2022-09-06,High,262326.33
128,Individual,1,Nairobi,1128,Machinery,217046.91,4852.44,Transporter C,Arusha-Nairobi,Namanga,"(np.float64(-1.2375), np.float64(36.8323))",1,1983.67,Accident,Transit,2022-03-05,Medium,87935.86
